graph_type,param,V,E,vbs_size,sp_size,sp_ratio,sp_valid,sp_time,dg_size,dg_ratio,dg_valid,dg_time,sa_size,sa_ratio,sa_valid,sa_time,sp_lt_dg,sp_eq_dg,sp_gt_dg
BA,5.0,2000,9985,1200,1200,1.0,True,0.005302769015543163,1223,1.0191666666666668,True,0.006928185001015663,1411,1.1758333333333333,True,0.27808038401417434,1,0,0
BA,2.0,5000,9997,2237,2237,1.0,True,0.0040675560012459755,2295,1.0259275815824764,True,0.016262611956335604,2428,1.085382208314707,True,0.32333152706269175,1,0,0
BA,2.0,5000,9997,2224,2224,1.0,True,0.004362217034213245,2280,1.025179856115108,True,0.016186274937354028,2366,1.0638489208633093,True,0.3057723819511011,1,0,0
BA,2.0,5000,9997,2238,2238,1.0,True,0.004151086090132594,2291,1.0236818588025023,True,0.01635612896643579,2472,1.1045576407506703,True,0.316724332049489,1,0,0
BA,2.0,5000,9997,2259,2259,1.0,True,0.005383924930356443,2320,1.0270030987162462,True,0.0182512030005455,2507,1.1097830898627712,True,0.3217704340349883,1,0,0
BA,2.0,5000,9997,2246,2246,1.0,True,0.0039185150526463985,2303,1.0253784505788068,True,0.0164349100086838,2355,1.0485307212822796,True,0.4391080429777503,1,0,0
BA,5.0,5000,24985,2999,2999,1.0,True,0.012474699993617833,3086,1.0290096698899633,True,0.025767730083316565,3251,1.0840280093364454,True,0.8548249149462208,1,0,0
BA,5.0,5000,24985,3021,3021,1.0,True,0.01205732801463455,3078,1.0188679245283019,True,0.0254985619103536,3078,1.0188679245283019,True,0.8073996839812025,1,0,0
BA,5.0,5000,24985,3026,3026,1.0,True,0.012096020975150168,3072,1.0152015862524786,True,0.026119939982891083,3083,1.018836748182419,True,0.8019249660428613,1,0,0
BA,5.0,5000,24985,3037,3037,1.0,True,0.013750071986578405,3095,1.019097793875535,True,0.026117215980775654,3303,1.0875864339809023,True,0.9808254960225895,1,0,0
