instance_id,graph_type,num_nodes,is_optimal,step,vertex,prob,delta,spectral_gap,n_active
58,ER,9,True,5,4,9.999666671156593e-05,4.9997708366444904e-05,0.9999999999999999,3
59,ER,9,True,0,5,1.886882861912298e-05,1.1309288799887796e-06,0.6812100917564315,9
59,ER,9,True,1,2,2.3055273054906067e-05,5.5533304954558105e-08,0.594707677283361,8
59,ER,9,True,2,8,3.33328641050068e-05,2.0832764288103434e-06,0.5241644327653674,7
59,ER,9,True,3,0,5.277679559700932e-05,1.5277385870371418e-05,0.4609857324907515,6
59,ER,9,True,4,1,4.444366255729193e-05,0.0,1.0000000000000002,4
59,ER,9,True,5,7,9.999666671134388e-05,4.9997708366000815e-05,0.9999999999999999,3
60,ER,14,True,0,0,6.666513890363213e-05,2.0277054646911097e-05,0.15100632771845396,14
60,ER,14,True,1,13,6.305418920049544e-05,1.930488363965921e-05,0.31188928389331416,12
60,ER,14,True,2,2,5.277681022519687e-05,1.3194098993585257e-05,0.3157082539645877,8
60,ER,14,True,3,6,4.1666000198392616e-05,5.208256048661042e-11,0.512411873037468,6
60,ER,14,True,4,10,5.8332106493308444e-05,1.666612269146661e-05,0.7712864461218311,5
60,ER,14,True,5,1,9.999666671134388e-05,4.999770836622286e-05,1.0,3
61,ER,14,True,0,0,6.666513890363213e-05,2.0277054646911097e-05,0.15100632771845396,14
61,ER,14,True,1,13,6.305418920049544e-05,1.930488363965921e-05,0.31188928389331416,12
61,ER,14,True,2,2,5.277681022519687e-05,1.3194098993585257e-05,0.3157082539645877,8
61,ER,14,True,3,6,4.1666000198392616e-05,5.208256048661042e-11,0.512411873037468,6
61,ER,14,True,4,10,5.8332106493308444e-05,1.666612269146661e-05,0.7712864461218311,5
61,ER,14,True,5,1,9.999666671134388e-05,4.999770836622286e-05,1.0,3
62,ER,14,True,0,0,6.666513890363213e-05,2.0277054646911097e-05,0.15100632771845396,14
62,ER,14,True,1,13,6.305418920049544e-05,1.930488363965921e-05,0.31188928389331416,12
62,ER,14,True,2,2,5.277681022519687e-05,1.3194098993585257e-05,0.3157082539645877,8
62,ER,14,True,3,6,4.1666000198392616e-05,5.208256048661042e-11,0.512411873037468,6
62,ER,14,True,4,10,5.8332106493308444e-05,1.666612269146661e-05,0.7712864461218311,5
62,ER,14,True,5,1,9.999666671134388e-05,4.999770836622286e-05,1.0,3
63,ER,14,True,0,1,4.5554835797378956e-05,3.055484411706999e-06,0.2834232077790402,14
63,ER,14,True,1,3,4.2499349707569856e-05,3.4999228836207763e-06,0.361818231146045,12
63,ER,14,True,2,12,3.9999421300063176e-05,3.240652191038862e-11,0.3325808646775069,10
63,ER,14,True,3,6,5.208237782905467e-05,2.0832797309466855e-06,0.39205028723535607,9
63,ER,14,True,4,10,6.166533311469102e-05,2.3332584962010294e-05,0.5000000000000002,7
63,ER,14,True,5,7,6.666511575648126e-05,2.499913195463943e-05,0.7712864461218311,4
63,ER,14,True,6,9,9.999666671134388e-05,2.220446049250313e-16,2.0,2
64,ER,14,True,0,11,2.6110842815119106e-05,2.7778830413716094e-07,0.42469786905073814,14
64,ER,14,True,1,8,2.9999640908773273e-05,1.666684813717012e-06,0.3856541269976092,13
64,ER,14,True,2,0,3.785656725407982e-05,8.968018766153385e-06,0.35554748767710465,12
64,ER,14,True,3,3,4.166601852384488e-05,8.33313440629091e-06,0.22819106986327622,10
64,ER,14,True,4,2,4.9999104463460675e-05,2.083294270427416e-06,0.3681816111043136,9
64,ER,14,True,5,7,5.2776785470332044e-05,1.736063456980741e-05,0.4409416154105976,7
64,ER,14,True,6,6,4.166596836918668e-05,5.555401878076793e-06,0.7257081148225685,5
64,ER,14,True,7,9,7.49980208569756e-05,2.220446049250313e-16,0.49999999999999994,4
64,ER,14,True,8,10,9.999666671134388e-05,2.220446049250313e-16,2.0,2
65,ER,14,True,0,7,2.9999641900646523e-05,2.2221853013260073e-06,0.38386656707342665,14
65,ER,14,True,1,12,3.9166114444322275e-05,7.0831724624520476e-06,0.3742108158493421,13
65,ER,14,True,2,5,3.3332907650951427e-05,9.99985779071011e-07,0.3648343495418499,11
65,ER,14,True,3,11,4.458261245954276e-05,8.916449930618242e-06,0.26065004741300796,10
65,ER,14,True,4,3,4.249932292132996e-05,4.999848959741371e-06,0.19528690868623122,8
65,ER,14,True,5,13,9.999666671134388e-05,2.220446049250313e-16,3.8424124992886277e-16,7
65,ER,14,True,6,2,4.9999074082096584e-05,1.944394097719293e-05,0.7257081148225677,5
65,ER,14,True,7,1,4.999906250702235e-05,2.220446049250313e-16,1.4999999999999996,3
